adjective,meaning,Primary sense-type,Secondary sense-type
అంకకాడు,"మొనగాడు,ముఖ్యుడు,శూరుడు,కళంకము కలవాడు",,
అంకన,ముద్రలు వేయుటకు సాధనమైనది,Locational,Locational
అంకపరివర్తి,ఆలింగనము చేసికొనువాడు,Locational,Locational
అంకి,అంకముకలది,Locational,Locational
అంకితము,"ఎంచబడినది,గురుతిడబడినది,రాజాదులనామముచే చిహ్నితమైనది",Locational,Locational
అంకురితము,మొలకఎత్తినది,Locational,Locational
అంకుశదుర్ధరము,అంకుశమునకు లొంగనిది,Locational,Locational
అంకుశి,అంకుశము కలవాడు,Locational,Locational
అంకుశితము,అంకుశ ప్రయోగము కలది,,
అంక్యము,"ఎంచదగినది,గురుతిడబడినది,వాతవెయదగినది",,
అంగజము,"శరీరమందు పుట్టినది,శరీరమువలన పుట్టినది",,
అంగనాప్రియము,స్త్రీలకిష్టమైనది,,
అంగభువు,శరీరమునుండికాని  మనస్సునుండికాని పుట్టినది,Locational,Locational
అంగమర్ధకుడు/అంగమర్ది /అంగమర్ధుడు,ఒడలు పట్టువాడు,Locational,Locational
అంగరక్తము,ఎఱ్ఱని అవయవములు కలది,Locational,Locational
అంగరక్షకుడు,ప్రభువు దేహమును కాపాడుటకై యతని తోడు ఉండువాడు,Locational,Locational
అంగరక్షుడు,రాజాదుల శరీరమును రక్షించువాడు,Locational,Locational
అంగరుహము,శరీరమున మొలచునది,Locational,Locational
అంగవికలుడు,అస్వాభావికమైన యవయములు కలవాడు,Locational,Locational
"అంగసంస్కర్త/అంగసంస్కారుడు""","అంగసంస్కారము చేయువాడు,దేహమును అలంకరించువాడు",Locational,Locational
అంగహీనుడు,"అంగవికలుడు,అవయవ లోపము కలవాడు",Locational,Locational
అంగారకారి,"బొగ్గులను చేయువాడు,అంగారకునకు శత్రువు-బుధుడు",Locational,Locational
అంగారకితము,బొగ్గుగా చేయబడినది,Locational,Locational
అంగారము,ఎర్రనిది,Locational,Locational
అంగారీయము,బొగ్గులు చేయుటకుపయోగపడినది,Locational,Locational
అంగి,"అవయవములు కలది,దేహము కలది,ముఖ్యమైనది,ప్రధానము",Locational,Locational
అంగీకర్త/అంగీకారకుడు,అంగీకరించువాడు,,
అంగీకార్యము,అంగీకరింపదగినది,,
అంగీకృతము,అంగీకరింపబడినది,,
అంగీక్రియమాణము,అంగీకరింపబడుచున్నది,,
అంగీయము,"దేహసంబంధమైనది,అంగదేశ సంబంధమైనది",,
అంగుష్ఠమాత్రము,బొటనవ్రేలికొలదిగలది,,
అంచనదారుడు,"అంచనవేయువాడు,పరిమితినూహించువాడు",,
