word,క్రి.రూపం.,meaning,annotation
అకారణము,క్రి.విణ,"కారణము లేక,వ్యర్థముగ",
అకారతుగా,క్రి.విణ,"ఆకారణముగా,హేతువులేకుండగ",Positive
అగ్గలము,క్రి.విణ,"మిగుల,అధికముగా",Positive
అడ్డగోలుగా,క్రి.విణ,"అడ్డుగా,ప్రసక్తిలేకుండ",Negative
అడ్డము,క్రి.విణ,"అడ్డముగా ,అడ్డుగా",Neutral
అడ్డు,క్రి.విణ,అడ్డము,Uncertain
అదరంట,క్రి.విణ,"మర్మస్థానమంటునట్లు-గాఢముగా,తీవ్రముగా",Uncertain
అదరిపాటు,క్రి.విణ,"అకస్మాత్తుగా,డబ్బాటుగా",Uncertain
అనిశము,క్రి.విణ,"సదా,ఎల్లప్పుడు",Uncertain
అభ్యమిత్త్రము,సం.క్రి.విణ,"శత్రువునకెదురుగా,శత్రువునకు అభిముఖముగా",Uncertain
అలవోక,క్రి.విణ.ద్రు,"అవలీలగా,అనాయాసముగా",Uncertain
అల్ల,క్రి.విణ.ద్రు,"మందముగా,మెల్లగా,క్రమక్రమముగా",Uncertain
అల్లన,క్రి.విణ.ద్రు,"మెల్లగా,మందముగా",Uncertain
అల్లల్ల,క్రి.విణ.ద్రు,"మెల్లమెల్లగా,క్రమక్రమముగా",Uncertain
అవచాటముగా,క్రి.విణ.ద్రు,అకస్మాత్తుగా,Uncertain
ఆదరబాదర,క్రి.విణ,"మిక్కిలి తొందరగా,అతిత్వరితముగా",Uncertain
ఉవ్వెత్తు,క్రి.విణ,"నిశ్శేషముగా,పూర్తిగా 2.అవలీలగా,అనాయాసముగా 3.ఎక్కువగా",Uncertain
ఊచముట్టు,క్రి.విణ,"మూలముట్టుగ,నిశ్శేషముగా",Uncertain
ఎకాఎకి,క్రి.విణ,ఒక్కమారుగా,Uncertain
ఎక్కుడు,క్రి.విణ,"అధికముగా,మిగుల",Uncertain
ఎగదిగ,క్రి.విణ,పైకిని క్రిందికిని;వెనుకకు ముందునకు,
ఎగసన,క్రి.విణ,పైకిపోవునట్లు,
ఎదురు,క్రి.విణ,"ఎదురుగా,అభిముఖముగా 2.సమానముగా",
ఎన,క్రి.విణ,"అత్యంతము,మిక్కిలి 2.చక్కగా,బాగుగా",
ఏటవాలు,క్రి.విణ,వంపుగా,
ఏమరిపాట,క్రి.విణ,అకస్మాత్తుగా,
ఏమరిపాటు,క్రి.విణ,అకస్మాత్తుగా,
ఏరాళము-హేరాళము,క్రి.విణ,"అధికముగా,అసంఖ్యాకముగా",
ఒక్కెర,క్రి.విణ,ఆకస్మికముగా,
ఒల్లన,క్రి.విణ,"తిన్నగా,ఋజువుగా 2.వడిగా,వేగముగా 3.అధికముగా,మిక్కిలి",
అరిమురి,క్రి.విణ,"శీఘ్రముగా,వేగముగా;వెంటనే,తోడ్తో 2.అనాలోచితముగా 3.తబ్బిబ్బుగా, తారుమారుగా,ఉచ్చావనముగా 4.అత్యంతము,మిక్కిలి 5.ఇంచుకేనియు,బొత్తిగా 6.తరచుగా, దట్టముగా 7.నిశ్చయముగా,నిజముగా",
తెకతేర,క్రి.విణ,"మిక్కిలి అనాయాసముగా,కడుసులభముగా, 2.నిష్కారణంగా, వ్యర్థముగా,వృధాగా",
తెప్పదెరల(గా),క్రి.విణ.ద్రు,"బహుళముగా,అధికముగా2.అతివేగముగా",
తెప్పలుగ,క్రి.వీణ.ద్రు,"సమృద్ధముగా ,అధికముగా,పుష్కలముగా",
తెప్పున,క్రి.వీణ.ద్రు,"తటాలున,శీఘ్రముగా",
తెల-తెల్ల,క్రి.విణ,తెల్లగా,
తేర,క్రి.విణ,"వృధాగా,నిష్ప్రయోజనముగా,చులుకనగా,అనాయాసముగా",
తేరకుదేర,క్రి.విణ,"వ్యర్థముగా,నిష్ప్రయోజనముగా2.అనాయాసముగా",
తోడు,క్రి.విణ,సహాయముగా,
తోడుత(డ్త),క్రి.విణ.ద్రు,"వెంబడి,వెంట",
తోడుతో(డ్తో),క్రి.విణ.ద్రు,"వెంబడి,వెనువెంట,శీఘ్రముగా2.తొల్త,మొదట",
తోడుతో(డ్త)డ,క్రి.విణ.ద్రు,"వెనువెంట,శీఘ్రముగా2.క్రమక్రమముగా,వరుసగా",
తోడుతోడుత,క్రి.విణ.ద్రు,"వెనువెంటనే,అతిశీఘ్రముగా",
తోపాటు,క్రి.విణ,"సహార్ధకము,తోడుత",
త్రెవ్వ,క్రి.విణ.ద్రు,పూర్ణముగా,
దందడి,క్రి.విణ.ద్రు,అధికముగా,
దబ్బున,క్రి.విణ.ద్రు,శీఘ్రముగా,
దవ్వు,క్రి.విణ,దూరమగు,
దారున,క్రి.విణ.ద్రు,"ఝటిత్యర్థకము,శీఘ్రముగా,ఆకస్మికముగా,హతాత్తుగా",
దిగజారు,క్రి.విణ,శీఘ్రముగా,
దిగసన,క్రి.విణ.ద్రు,దిగువగా,
దిగ్గన,క్రి.విణ.ద్రు,తటాలున,
దిశాపట్టము,క్రి.విణ,"దిక్కులకు పారునట్లుగా,చెల్లాచెదరగు నట్లుగా",
దీటు-తీడు,క్రి.విణ,"తిన్నగా,సూటిగా",
దురదుర,ద్రు.క్రి.విణ,గమనాదుల శైఘ్ర్యానుకరణము,
దురీన,ద్రు.క్రి.విణ,తటాలున,
ద్రుతము,క్రి.విణ,త్వరితము,
నలి,క్రి.విణ.ద్రు,"క్రమముగా,అత్యంతము,అర్హముగా,తగునట్లుగా,నిశ్చలముగా",
నాలి,క్రి.విణ,తేలికగా,
నిండు,క్రి.విణ.ద్రు,"అధికముగా,పూర్ణముగా",
నికము,క్రి.విణ,"యథార్థముగా,సత్యముగా",
నికామము,క్రి.విణ,"అధికమైనది,యధేచ్చము,ఇష్టము చొప్పున,పర్యాప్తము,చాలినంత,మిక్కిలి అధికముగా",
నిక్కము,క్రి.విణ,"నిజముగా,నిశ్చయముగా",
నిక్కువము,క్రి.విణ,నిజముగా,
నిచ్చ(లు),క్రి.విణ,నిశ్చయముగా,
నిజము,క్రి.విణ,"యథార్థముగా,సత్యముగా",
నిత్యము,క్రి.విణ,"ప్రతిదినము,ఎల్లప్పుడు,శాశ్వతముగా",
నిర్దయము,క్రి.విణ,"క్రూరముగా,దయలేకుండగా",
నిర్విఘ్నము,క్రి.విణ,"విఘ్నము లేకుండా,అడ్డు లేకుండా",
నిర్విచారము,క్రి.విణ,"విచారము లేకుండ,ముందు వెనుకలు చూడకుండ",
నిశ్శేషము,క్రి.విణ,"సర్వము,అంతయు",
నెట్ట,క్రి.విణ,"మిక్కిలి,అధికముగా",
నెట్టన,క్రి.విణ,"మిక్కిలి,అధికముగా,నిండుగా,సమ్రుద్ధముగా,ఆవశ్యము,తప్పక,న్యాయముగా,పాడితప్పక,నిజముగా,యదార్థముగా,చక్కగా,ఒప్పుగా,తెగించి,సాహసించి,అనాలోచితంగా,తొందరపడి,చెచ్చెర,శీఘ్రముగా,కొంచెమైనను,అల్పమైనను",
నెట్టపంట,క్రి.విణ,నిష్కారణముగా,
నెరవిడి,క్రి.విణ,"నిండుగా,పూర్ణముగా",
నెఱి,క్రి.విణ.ద్రు,"పూర్ణముగా,నిండుగా,గట్టిగా,దృఢముగా,మిక్కిలి,అత్యంతము,చక్కగా,లెస్సగా,నిజముగా,వాస్తవముగా",
తేరకు,అవ్య.క్రి.విణ,"వృధాగా,వ్యర్థముగా",
తొరితొరి,అవ్య.క్రి.విణ,లెస్సగా,
నింకెర,అవ్య.క్రి.విణ,శీఘ్రముగా,
మాఱు,క్రి.విణ,"ప్రతికూలముగా,ఎదురుగా",
మిక్కిలి,క్రి.విణ,"అధికముగా,ఎక్కువగా",
మున్నడి,క్రి.విణ,ముందుగా,
మున్నాడి,క్రి.విణ,ముందుగా,
ముసిముసి,క్రి.విణ,"మందముగ,మెల్లగ (నవ్వు)",
మెండు,క్రి.విణ,"అధికముగ,మిక్కుటముగ",
మెత్త,క్రి.విణ.ద్రు,మందముగా,
మెత్తన,క్రి.విణ.ద్రు,"మెల్లగా,ఒయ్యన",
"మెయిమెయి=మయి,మయి,మై,మై",క్రి.విణ.ద్రు,అనాయాసముగా;నిరువద్రవముగా,
మెల్ల,క్రి.విణ.ద్రు,"మందముగా,త్వరపడక;బిగ్గరకాకుండ,ఉచ్చ్తెర్ధ్వని లేకుండ",
"మేమెయి=మయిమయి,మేమే,మైమై",క్రి.విణ,అనాయాసముగా,
మేలు,క్రి.విణ,సంపూర్ణముగా,
యథాకామము,స.క్రి.విణ,"ఇచ్ఛానుసారముగా,మనస్తృప్తియగునట్లు",
యథాకాలము,స.క్రి.విణ,సరియగు కాలమున;అదునున,
