క్రియ,అర్థం,Primary sense-type,Secondary sense-type
అంకించు,"ఒప్పు,ప్రకాశించు",,
అంకిలిప(వ)డు,"1.అంగిపోవు,అడ్డిపోవు,2.నాశము నొందు",Know|Known,Know|Known
అంకు,"దొరకు,లభించు",Know|Known,Know|Known
అంగడికెక్కు,"వీథికెక్కు,బయలుపడు,ప్రకటమగు",Know|Known,Know|Known
అంగలార్చు,"భయాదులచేత ఆర్చు,దుఖించు",Know|Known,Know|Known
అంగవించు,"1చేరు2.సంబంధము కలుగజేసికొను1.దగ్గరకువచ్చు,ఛేరువయగు.2.ఉంకించు,ఎత్నించు        3.తెగించు,సాహసించు                                                      ",,
అంచించు,"అంచనచేయు,ఊహించు",,
అంచుముట్టు,"తుదముట్టు,సమాప్తమగు",,
అంజు,"భయపడు,జంకు;వెనుదీయు:సందేహించు",,
అంటలుగట్టు,అడగాఏర్పడు 2.గుంపుగాకూడు,,
అంటసిలు(ల్లు),"అంటు,తాకు",,
అంటు,"ప్రాప్తించు,అబ్బు 2.అత్తు,కూడు,కలియు 3.లగ్నమగు,తగులుకొను 4.నాటుకొను 5.అంటుకొనియుండు,నిలుచు 6.కలుగు,పుట్టు",,
అంటుకొను,"లగ్నమగు,తగులుకొను,అతుకుకొను,(నిప్పు అంటుకొను)",,
అంటుపడు,"అపరిశుద్ధమగు,మైలపడు",,
అండగొట్టు,"వెనుదీయు,మసలు,ఆలస్యము చేయు",,
అండగొను,వెనుదీయు,,
అంతర్ధానముచేయు,"మరుగుపడు,మాయమగు",,
అందగించు,"రమ్యమగు,ఒప్పు",,
అందపడు,"అందగించు,ఒప్పు",,
అందు,"దొరకు,చిక్కు",,
అక్కజపడు,"ఆశ్చర్యపడు,వింతపడు",,
అక్కటపడు,సంతాపపడు,,
అక్కటికించు,"కరుణించు,జాలిపడు",,
అక్కరపడు,"ఆశపడు,కక్కురితిపడు 2.ఇబ్బందిపడు,కష్టపడు",,
అక్కిలిపడు,"కలతపడు 2.పోవు,చెడు",,
అగడాడు,"ప్రేలు,వదరు",,
అగడుపడు(డ్పడు),"నింద 2.క్షోభపడు,కలతనొందు",,
అగపడు,"వశమగు,లోబడు,చిక్కు 2.లభించు,దొరకు,ప్రాప్తించు,సిద్ధించు3.తెలియు,ఎరుకపడు 4.గోచరమగు,కనబడు 5.సంభవించు,కలుగు",,
"అగలు,అగులు","పగులు,భేదిల్లు 2.క్షీణమగు,చెడు3.దుహ్ఖించు",,
అగు(వు),"కలుగు,సంభవించు,ఒనగూడు 2.ప్రవర్తిల్లు,జరుగు 3.గతించు,కడచు 4.సిద్ధించు,నెరవేరు 5.తగు,యుక్తమగు,అర్హమగు 6.సమర్థమగు,చాలియుండు 7.వలయు 8.పరిణమించు,మారు 9.శక్యమగు,అలవియగు 10.అనుకూలమగు 11.ఏకమగు,కలియు 12.యదార్థమగు,నిజమగు 13.సిద్ధమగు 14.తోచు,మనసుకు స్ఫురించు 15.కలదియగు,కలిగియుండు16.అధీనమగు,పాలగు 17.సంబంధించు 18.ఉండు 19.see 67 page;20.సమాప్తమగు,ముగియు,పూర్ణమగు 21.వ్యయమగు 22.చేసికొను ",,
అగులు,"అగలు,పగులు",,
అగ్గలించు,"అతిశయించు,ఎక్కువగు,వ్యాపించు,విజ్రుంభించు 2.ఉత్సహించు,పూను",,
అ(చ)చ్చలించు,ఆగ్రహించు,,
అచ్చరుపడు,"విస్మయమందు,ఆశ్చర్యపడు",,
అచ్చివచ్చు,"అనుకూలమగు,క్షేమకారియగు",,
అచ్చు,"అప్పుపడు,ఋణపడు 2.పూచిపడు,పూటవడు",,
అచ్చుకొను,పూచిపడు,,
అచ్చుపడు,"స్పష్టమగు,తెల్లమగు,బయలుపడు 2.అబ్బు,అలవడు,సిద్ధించు 3.తగియుండు,ఉచితమగు,సార్థకమగు 4.ఏర్పడు 5.ముద్రితమగు",,
అచ్చెరువ(ప)డు -అచ్చెరువుపడు,ఆశ్చర్యపడు,,
ఆటమటించు,బాధపడు,,
అటుండు,అలాగున నుండు,,
అట్టకట్టు,అట్టగా ఏర్పడు,,
అట్టిట్టగు,"కలతనొందు,క్షుబ్దమగు",,
అట్టిట్టు(టు)పడు,"వ్యత్యస్తమగు,తారుమారగు 2.క్షోభపడు,కలగు",,
అడగారు,"ఉపశమిల్లు,అడగు",,
అడగు-అణగు,"దిగబడు,క్రుంగు 2.నమ్రమగు,లొంగు,లోబడు 3.ఇముడు;అంతర్గతమగు 4.దాగు,మరుగుపడు 5.నిరుద్ధమగు 6.అంతర్ధానమగు,మాయమగు,అదృశ్యమగు 7.నశించు;చెడు",,
అడగొను,"అట్టకట్టు,ముద్ద కట్టు",,
అడపడు,సంశయపడు,,
అడరు,"ప్రజ్వలించు 2.అతిశయించు 3.ప్రసరించు,వ్యాపించు,పర్వు 4.కడగు,పూను;సిద్ధపడు 5.(యుద్ధమున)కవియు 6.తిరుగు;సంచరించు 7.కలుగు,పుట్టు 8.ఒప్పు,శోభిల్లు 9.కలగు,క్షోభపడు ",,
అడరుదెంచు,అడరు (అతిశయించు),,
అడరుపడు,విజ్రుంభించు,,
అడలిపోవు,"అడలు,భయపడు",,
అడలు,"శోకించు,మనసున గుందు 2.రోదనము చేయు,ఏడ్చు,విలపించు 3.భయపడు,బెదరు 4.చలించు,అదురు 5.కాంతిహీనమగు",,
అడచిపడు,"త్వరపడు,తొందరపడు 2.ఎగిరిపడు,మిట్టిపడు, మిడిసిపడు 3.కోపపడు",,
అడుగంటు,అడుగునకుపోవు;క్షీణించు,,
అడుగుదప్పు,అడుగుమాత్రము తప్పు,,
అడుగుదీయు,"అడుగు కదలచు,అడుగు ఎత్తు 2.వెనుదీయు",,
అడుగు(వ)పట్టు,"అడుగునుపొందు,క్రిందికిబోవు 2.క్షీణించు 3.కాళ్లుబట్టుకొను;నమ్రమగు",,
అడుగుప(వ)డు,"క్రిందికి బోవు,అడుగంటు",,
అడుగుపె(వె)ట్టు-అడుగిడు,"పాదముపెట్టు;నడుచు 2.ప్రవేశించు,చొచ్చు 3.కదలు",,
అడుగుమాలిపోవు,మొదలంటనశించు,,
అడ్డుపడు," నిరోధకమగు,అడ్డమువచ్చు 2.నిరోధకముగాబడు 3.అడ్డుగావచ్చు",,
అడ్డు,"ఆగు,నిలిచిపోవు",,
అడ్డుకొను,"ఆగిపోవు,నిలుచు",,
అతుకు-అదుకు,"అంటుకొను,కూడు,అత్తు",,
అత్తమిల్లు(లు),"ఒరగు,వ్రాలు 2.అంటియుండు,ఉండు 3.శయనించు,పరుండు 4.మూర్చపోవు",,
అత్తు-హత్తు,"కలియు 2.తగులువడు,అనుకూలమగు 3.అంటుకొను",,
అదరిపడు,"మిట్టిపడు,ఎగిరిపడు 2.ఉలిక్కిపడు,అకస్మాత్తుగా భయకంపితుడగు",,
అదలు,కదలు;తొలగు,,
అదవదపడు,"విచారపడు,కలతనొందు,వ్యాకులమగు",,
అదవెట్టు,"మెఱపెట్టు,ఆక్రోశించు",,
అదిరిపడు,ఉలికిపడు,,
అదుకుకొను,అదుకు,,
అదురుచు(ర్చు)-అద్రుచు,"చలించు,వడకు",,
అధిక్షేపించు,"దోషమారోపించు,నేరముమోపు",,
అధిగమించు,"ప్రవర్తించు 2.చొచ్చు,ప్రవేశించు",,
అనగిపెనగు,"కలియు,కూడికొను",,
అనలుగొనలుబారు,"ననుచు,వర్ధిల్లు,చిగుర్చు",,
అనుగలించు,"ప్రియపడు,ఇష్టపడు",,
అనుమానపడు,"అనుమానమునొందు,అనుకొను,ఊహచేయు",,
అనువు,"పొందపడు,అనుకూలమగు",,
అనువొప్పు,ఒప్పు,,
అన్ను,"అన్నుకొను,మత్తిల్లు,పరవశమగు",,
అన్నుకొను,"మత్తిల్లు,పారవశ్యమునొందు",,
అపోహపడు,"భ్రమపడు,భ్రాంతినొందు",,
అప్పలించు,ఉత్సహించు ; తమకించు,,
అబ్బగించు,"తాళు,సహించు,ఓర్చు",,
అబ్బాలాడు,"తడబడు,సంభ్రమించు",,
అబ్బు,"దొరకు,లభించు 2.సిద్ధించు 3.వశమగు,చిక్కు",,
అబ్బురపడు,ఆశ్చర్యపడు,,
అమయు,ఉపయుక్తమగు,,
